Date,Cumulative Cases,New Cases,Active Cases,Cumulative Death,Daily Deaths
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,1,1,1,0,0
2020-02-26,1,0,1,0,0
2020-02-27,1,0,1,0,0
2020-02-28,2,1,2,0,0
2020-02-29,2,0,2,0,0
2020-03-01,4,2,4,0,0
2020-03-02,7,3,7,0,0
2020-03-03,9,2,9,0,0
2020-03-04,11,2,11,0,0
2020-03-05,12,1,12,0,0
2020-03-06,14,2,14,0,0
2020-03-07,14,0,14,0,0
2020-03-08,15,1,15,0,0
2020-03-09,17,2,17,0,0
2020-03-10,19,2,18,0,0
2020-03-11,29,10,28,0,0
2020-03-12,36,7,35,0,0
2020-03-13,40,4,38,0,0
2020-03-14,59,19,57,0,0
2020-03-15,72,13,68,0,0
2020-03-16,89,17,84,1,1
2020-03-17,132,43,126,2,1
2020-03-18,174,42,168,3,1
2020-03-19,250,76,241,4,1
2020-03-20,379,129,369,4,0
2020-03-21,564,185,552,5,1
2020-03-22,804,240,787,5,0
2020-03-23,1149,345,1116,8,3
2020-03-24,1419,270,1364,10,2
2020-03-25,1788,369,1696,18,8
2020-03-26,2153,365,2030,27,9
2020-03-27,2604,451,2430,30,3
2020-03-28,3023,419,2785,44,14
2020-03-29,3593,570,3282,54,10
2020-03-30,4173,580,3774,67,13
2020-03-31,4904,731,4381,83,16
2020-04-01,5606,702,4942,99,16
2020-04-02,6484,878,5642,121,22
2020-04-03,7258,774,6184,159,38
2020-04-04,8061,803,6651,203,44
2020-04-05,8694,633,6920,251,48
2020-04-06,9573,879,7379,302,51
2020-04-07,10365,792,7716,359,57
2020-04-08,11058,693,7830,417,58
2020-04-09,11807,749,8066,484,67
2020-04-10,12444,637,8089,552,68
2020-04-11,13112,668,8172,622,70
2020-04-12,13906,794,8382,710,88
2020-04-13,14871,965,8581,805,95
2020-04-14,15831,960,8715,897,92
2020-04-15,16928,1097,8980,996,99
2020-04-16,17896,968,9168,1089,93
2020-04-17,18923,1027,9437,1177,88
2020-04-18,19591,668,9425,1276,99
2020-04-19,20415,824,9611,1401,125
2020-04-20,21325,910,9765,1504,103
2020-04-21,22138,813,9931,1619,115
2020-04-22,23031,893,10098,1737,118
2020-04-23,23942,911,10323,1853,116
2020-04-24,24803,861,10513,1967,114
2020-04-25,25567,764,10637,2092,125
2020-04-26,26185,618,10664,2202,110
2020-04-27,27093,908,10832,2319,117
2020-04-28,28018,925,10985,2457,138
2020-04-29,28920,902,10949,2610,153
2020-04-30,29923,1003,11137,2730,120
2020-05-01,30986,1063,11359,2869,139
2020-05-02,31885,899,11547,2983,114
2020-05-03,32678,793,11682,3081,98
2020-05-04,33546,868,11794,3191,110
2020-05-05,34442,896,11881,3291,100
2020-05-06,35476,1034,12136,3386,95
2020-05-07,36331,855,12197,3480,94
2020-05-08,37112,781,12132,3570,90
2020-05-09,37867,755,12136,3667,97
2020-05-10,38519,652,12049,3760,93
2020-05-11,39246,727,11741,3857,97
2020-05-12,40048,802,11610,3939,82
2020-05-13,40830,782,11456,4005,66
2020-05-14,41532,702,11166,4091,86
2020-05-15,42318,786,11159,4175,84
2020-05-16,43014,696,11111,4254,79
2020-05-17,43740,726,11156,4320,66
2020-05-18,44407,667,10977,4389,69
2020-05-19,45042,635,10778,4447,58
2020-05-20,45850,808,10780,4519,72
2020-05-21,46565,715,10606,4578,59
2020-05-22,47165,600,10428,4647,69
2020-05-23,47667,502,10203,4711,64
2020-05-24,48211,544,10126,4775,64
2020-05-25,48724,513,9833,4834,59
2020-05-26,49174,450,9520,4899,65
2020-05-27,49695,521,9298,4958,59
2020-05-28,50109,414,8970,5036,78
2020-05-29,50534,425,8644,5096,60
2020-05-30,50931,397,8286,5137,41
2020-05-31,51222,291,7950,5172,35
2020-06-01,51551,329,7649,5210,38
2020-06-02,51777,226,7237,5244,34
2020-06-03,52053,276,6926,5278,34
2020-06-04,52312,259,6685,5294,16
2020-06-05,52554,242,6310,5323,29
2020-06-06,52800,246,6107,5349,26
2020-06-07,52988,188,5858,5371,22
2020-06-08,53105,117,5509,5388,17
2020-06-09,53271,166,5222,5407,19
2020-06-10,53441,170,4873,5426,19
2020-06-11,53592,151,4581,5447,21
2020-06-12,53769,177,4336,5466,19
2020-06-13,53893,124,4136,5483,17
2020-06-14,53987,94,3996,5494,11
2020-06-15,54098,111,3708,5511,17
2020-06-16,54230,132,3503,5520,9
2020-06-17,54349,119,3293,5529,9
2020-06-18,54485,136,3137,5535,6
2020-06-19,54618,133,3011,5548,13
2020-06-20,54714,96,2953,5552,4
2020-06-21,54793,79,2863,5562,10
2020-06-22,54876,83,2765,5570,8
2020-06-23,54970,94,2657,5583,13
2020-06-24,55058,88,2605,5598,15
2020-06-25,55149,91,2515,5605,7
2020-06-26,55234,85,2340,5608,3
2020-06-27,55322,88,2274,5612,4
2020-06-28,55380,58,2212,5617,5
2020-06-29,55441,61,2130,5628,11
2020-06-30,55539,98,2057,5635,7
2020-07-01,55611,72,1940,5641,6
2020-07-02,55681,70,1821,5649,8
2020-07-03,55772,91,1772,5654,5
2020-07-04,55862,90,1746,5658,4
2020-07-05,55920,58,1750,5661,3
2020-07-06,55988,68,1720,5669,8
2020-07-07,56095,107,1725,5671,2
2020-07-08,56194,99,1703,5676,5
2020-07-09,56321,127,1718,5680,4
2020-07-10,56435,114,1733,5684,4
2020-07-11,56537,102,1751,5687,3
2020-07-12,56612,75,1741,5687,0
2020-07-13,56750,138,1760,5690,3
2020-07-14,56881,131,1791,5691,1
2020-07-15,57028,147,1848,5696,5
2020-07-16,57167,139,1904,5700,4
2020-07-17,57363,196,2001,5702,2
2020-07-18,57553,190,2090,5703,1
2020-07-19,57680,127,2117,5704,1
2020-07-20,57810,130,2124,5705,1
2020-07-21,57963,153,2165,5707,2
2020-07-22,58136,173,2210,5711,4
2020-07-23,58332,196,2272,5712,1
2020-07-24,58492,160,2302,5713,1
2020-07-25,58652,160,2307,5714,1
2020-07-26,58800,148,2340,5714,0
2020-07-27,58892,92,2299,5716,2
2020-07-28,59021,129,2273,5717,1
2020-07-29,59199,178,2274,5717,0
2020-07-30,59353,154,2269,5721,4
2020-07-31,59488,135,2276,5722,1
2020-08-01,59620,132,2288,5724,2
2020-08-02,59713,93,2232,5726,2
2020-08-03,59857,144,2238,5726,0
2020-08-04,60006,149,2241,5726,0
2020-08-05,60131,125,2210,5729,3
2020-08-06,60224,93,2126,5732,3
2020-08-07,60351,127,2124,5733,1
2020-08-08,60467,116,2118,5735,2
2020-08-09,60564,97,2108,5737,2
2020-08-10,60665,101,2074,5739,2
2020-08-11,60765,100,2018,5742,3
2020-08-12,60856,91,1931,5745,3
2020-08-13,60953,97,1918,5746,1
2020-08-14,61029,76,1852,5748,2
2020-08-15,61095,66,1813,5751,3
2020-08-16,61140,45,1744,5755,4
2020-08-17,61189,49,1624,5757,2
2020-08-18,61268,79,1553,5758,1
2020-08-19,61342,74,1501,5761,3
2020-08-20,61445,103,1489,5763,2
2020-08-21,61554,109,1483,5767,4
2020-08-22,61625,71,1474,5767,0
2020-08-23,61703,78,1464,5770,3
2020-08-24,61748,45,1422,5772,2
2020-08-25,61845,97,1423,5772,0
2020-08-26,61972,127,1453,5773,1
2020-08-27,62092,120,1482,5773,0
2020-08-28,62201,109,1510,5779,6
2020-08-29,62342,141,1583,5781,2
2020-08-30,62460,118,1643,5782,1
2020-08-31,62589,129,1670,5783,1
2020-09-01,62742,153,1733,5783,0
2020-09-02,62928,186,1794,5784,1
2020-09-03,63154,226,1905,5786,2
2020-09-04,63340,186,1995,5786,0
2020-09-05,63537,197,2099,5787,1
2020-09-06,63732,195,2193,5787,0
2020-09-07,63923,191,2226,5789,2
2020-09-08,64118,195,2215,5789,0
2020-09-09,64370,252,2237,5793,4
2020-09-10,64626,256,2275,5794,1
2020-09-11,64936,310,2362,5794,0
2020-09-12,65232,296,2467,5796,2
2020-09-13,65549,317,2632,5799,3
2020-09-14,65825,276,2672,5803,4
2020-09-15,66147,322,2807,5806,3
2020-09-16,66454,307,2929,5809,3
2020-09-17,66802,348,3054,5812,3
2020-09-18,67291,489,3263,5819,7
2020-09-19,67788,497,3427,5825,6
2020-09-20,68296,508,3603,5827,2
2020-09-21,68777,481,3784,5829,2
2020-09-22,69302,525,4054,5832,3
2020-09-23,69986,684,4471,5836,4
2020-09-24,70713,727,4838,5842,6
2020-09-25,71461,748,5197,5844,2
2020-09-26,72364,903,5664,5851,7
2020-09-27,73215,851,6042,5855,4
2020-09-28,74126,911,6429,5863,8
2020-09-29,75084,958,6933,5872,9
2020-09-30,76102,1018,7399,5885,13
2020-10-01,77052,950,7687,5895,10
2020-10-02,78225,1173,8087,5902,7
2020-10-03,79387,1162,8432,5911,9
2020-10-04,80442,1055,8559,5921,10
2020-10-05,81289,847,8545,5929,8
2020-10-06,82288,999,8823,5941,12
2020-10-07,83259,971,8984,5956,15
2020-10-08,84356,1097,9029,5968,12
2020-10-09,85495,1139,9014,5975,7
2020-10-10,86401,906,8874,5993,18
2020-10-11,87483,1082,9024,6005,12
2020-10-12,88274,791,8850,6015,10
2020-10-13,89231,957,8929,6025,10
2020-10-14,90329,1098,9077,6045,20
2020-10-15,91478,1149,9219,6055,10
2020-10-16,92617,1139,9295,6075,20
2020-10-17,93674,1057,9382,6082,7
2020-10-18,94649,975,9424,6094,12
2020-10-19,95498,849,9277,6115,21
2020-10-20,96535,1037,9593,6128,13
2020-10-21,97516,981,9902,6150,22
2020-10-22,98454,938,10010,6170,20
2020-10-23,99497,1043,9991,6185,15
2020-10-24,100331,834,9851,6205,20
2020-10-25,101158,827,9674,6222,17
2020-10-26,102146,988,9622,6241,19
2020-10-27,103123,977,9722,6260,19
2020-10-28,104107,984,9830,6284,24
2020-10-29,105172,1065,9881,6303,19
2020-10-30,106124,952,9795,6331,28
2020-10-31,107109,985,9821,6362,31
2020-11-01,108133,1024,9911,6382,20
2020-11-02,109030,897,9934,6396,14
2020-11-03,110087,1057,10083,6418,22
2020-11-04,111244,1157,10403,6442,24
2020-11-05,112515,1271,10568,6462,20
2020-11-06,113713,1198,10776,6489,27
2020-11-07,114945,1232,10995,6512,23
2020-11-08,116255,1310,11329,6541,29
2020-11-09,117459,1204,11431,6573,32
2020-11-10,118765,1306,11809,6607,34
2020-11-11,120152,1387,12264,6638,31
2020-11-12,121482,1330,12347,6673,35
2020-11-13,122858,1376,12548,6693,20
2020-11-14,124094,1236,12568,6719,26
2020-11-15,125210,1116,12444,6745,26
2020-11-16,126230,1020,12101,6770,25
2020-11-17,127356,1126,12026,6806,36
2020-11-18,128560,1204,12062,6843,37
2020-11-19,129871,1311,11839,6873,30
2020-11-20,131020,1149,11664,6900,27
2020-11-21,132146,1126,11596,6928,28
2020-11-22,133354,1208,11486,6962,34
2020-11-23,134427,1073,11237,6987,25
2020-11-24,135652,1225,11442,7027,40
2020-11-25,137044,1392,11950,7058,31
2020-11-26,138380,1336,11967,7087,29
2020-11-27,139666,1286,12038,7114,27
2020-11-28,141095,1429,12384,7145,31
2020-11-29,142476,1381,12652,7178,33
2020-11-30,143736,1260,12909,7210,32
2020-12-01,145260,1524,13378,7234,24
2020-12-02,146810,1550,13923,7270,36
2020-12-03,148312,1502,14173,7309,39
2020-12-04,150079,1767,14579,7346,37
2020-12-05,151721,1642,15065,7382,36
2020-12-06,153259,1538,15390,7411,29
2020-12-07,154878,1619,15649,7446,35
2020-12-08,156539,1661,16184,7491,45
2020-12-09,158290,1751,16680,7523,32
2020-12-10,160048,1758,16763,7555,32
2020-12-11,161966,1918,17153,7601,46
2020-12-12,163971,2005,17617,7644,43
2020-12-13,165733,1762,17844,7678,34
2020-12-14,167624,1891,18259,7725,47
2020-12-15,169412,1788,18718,7766,41
2020-12-16,171535,2123,19436,7798,32
2020-12-17,173853,2318,19794,7851,53
2020-12-18,175980,2127,20123,7888,37
2020-12-19,178041,2061,20397,7922,34
2020-12-20,180013,1972,20527,7961,39
2020-12-21,182128,2115,20873,7999,38
2020-12-22,184286,2158,21318,8061,62
2020-12-23,186517,2231,21936,8112,51
2020-12-24,188917,2400,22396,8153,41
2020-12-25,191228,2311,22843,8200,47
2020-12-26,193324,2096,23048,8250,50
2020-12-27,195488,2164,23331,8299,49
2020-12-28,197798,2310,23715,8346,47
2020-12-29,200658,2860,24828,8395,49
2020-12-30,203469,2811,25926,8456,61
2020-12-31,206000,2531,26112,8497,41
2021-01-01,208752,2752,26599,8531,34
2021-01-02,211148,2396,26582,8582,51
2021-01-03,213320,2172,26980,8626,44
2021-01-04,215870,2550,27992,8681,55
2021-01-05,218459,2589,28624,8733,52
2021-01-06,221330,2871,29468,8788,55
2021-01-07,224165,2835,29507,8841,53
2021-01-08,226919,2754,29517,8889,48
2021-01-09,228932,2013,28935,8939,50
2021-01-10,230968,2036,28977,8982,43
2021-01-11,232760,1792,28801,9032,50
2021-01-12,234955,2195,28611,9083,51
2021-01-13,236968,2013,27964,9152,69
2021-01-14,238919,1951,26791,9213,61
2021-01-15,240801,1882,25833,9262,49
2021-01-16,242731,1930,25347,9313,51
2021-01-17,244245,1514,24653,9359,46
2021-01-18,245592,1347,23759,9415,56
2021-01-19,247117,1525,22528,9466,51
2021-01-20,248687,1570,21938,9528,62
2021-01-21,250485,1798,20989,9578,50
2021-01-22,252032,1547,20525,9639,61
2021-01-23,253368,1336,19419,9692,53
2021-01-24,254537,1169,18511,9751,59
2021-01-25,255762,1225,17573,9779,28
2021-01-26,257122,1360,17374,9822,43
2021-01-27,258393,1271,17055,9867,45
2021-01-28,259690,1297,16578,9904,37
2021-01-29,260974,1284,16289,9943,39
2021-01-30,262222,1248,15966,9970,27
2021-01-31,263103,881,15423,10006,36
2021-02-01,264081,978,14883,10029,23
2021-02-02,265256,1175,14838,10062,33
2021-02-03,266342,1086,14873,10098,36
2021-02-04,267427,1085,14525,10133,35
2021-02-05,268654,1227,14305,10160,27
2021-02-06,269701,1047,14020,10185,25
2021-02-07,270536,835,13580,10212,27
2021-02-08,271317,781,13102,10230,18
2021-02-09,272291,974,13026,10258,28
2021-02-10,273450,1159,12979,10280,22
2021-02-11,274469,1019,12782,10301,21
2021-02-12,275503,1034,12667,10320,19
2021-02-13,276341,838,12310,10334,14
2021-02-14,277068,727,11300,10351,17
2021-02-15,277741,673,10791,10366,15
2021-02-16,278592,851,10758,10375,9
2021-02-17,279381,789,10689,10390,15
2021-02-18,280250,869,10370,10401,11
2021-02-19,281028,778,10095,10416,15
2021-02-20,281751,723,9759,10431,15
2021-02-21,282570,819,9603,10443,12
2021-02-22,283210,640,9250,10451,8
2021-02-23,284044,834,9373,10465,14
2021-02-24,284901,857,9504,10478,13
2021-02-25,285718,817,9318,10483,5
2021-02-26,286594,876,9407,10493,10
2021-02-27,287306,712,9241,10502,9
2021-02-28,287882,576,8995,10508,6
2021-03-01,288471,589,8772,10518,10
2021-03-02,289238,767,8748,10528,10
2021-03-03,289927,689,8746,10538,10
2021-03-04,290784,857,8662,10548,10
2021-03-05,291487,703,8573,10557,9
2021-03-06,292230,743,8513,10567,10
2021-03-07,292843,613,8375,10573,6
2021-03-08,293455,612,8161,10582,9
2021-03-09,294258,803,8385,10590,8
2021-03-10,294978,720,8515,10599,9
2021-03-11,295730,752,8459,10610,11
2021-03-12,296543,813,8511,10611,1
2021-03-13,297202,659,8398,10619,8
2021-03-14,297811,609,8267,10629,10
2021-03-15,298382,571,8129,10641,12
2021-03-16,299107,725,8237,10646,5
2021-03-17,299836,729,8270,10651,5
2021-03-18,300602,766,8247,10656,5
2021-03-19,301411,809,8292,10659,3
2021-03-20,302093,682,8221,10670,11
2021-03-21,302760,667,8138,10678,8
2021-03-22,303464,704,8144,10684,6
2021-03-23,304234,770,8263,10688,4
2021-03-24,305260,1026,8564,10697,9
2021-03-25,306264,1004,8768,10705,8
2021-03-26,307273,1009,9002,10711,6
2021-03-27,308205,932,9199,10714,3
2021-03-28,309036,831,9251,10719,5
2021-03-29,309978,942,9425,10727,8
2021-03-30,310979,1001,9786,10735,8
2021-03-31,312412,1433,10464,10739,4
2021-04-01,313700,1288,10722,10747,8
2021-04-02,314990,1290,11045,10752,5
2021-04-03,316280,1290,11438,10757,5
2021-04-04,317419,1139,11614,10764,7
2021-04-05,318638,1219,11804,10770,6
2021-04-06,319948,1310,12166,10775,5
2021-04-07,321594,1646,12782,10782,7
2021-04-08,323307,1713,13206,10794,12
2021-04-09,325176,1869,13842,10798,4
2021-04-10,326800,1624,14120,10805,7
2021-04-11,328297,1497,14358,10816,11
2021-04-12,329714,1417,14489,10822,6
2021-04-13,331242,1528,14793,10835,13
2021-04-14,332758,1516,15015,10844,9
2021-04-15,334438,1680,15080,10851,7
2021-04-16,335890,1452,14819,10866,15
2021-04-17,337180,1290,14427,10879,13
2021-04-18,338204,1024,13756,10889,10
2021-04-19,339390,1186,13268,10899,10
2021-04-20,340607,1217,13063,10906,7
2021-04-21,341806,1199,12881,10910,4
2021-04-22,342898,1092,12439,10924,14
2021-04-23,343819,921,11998,10932,8
2021-04-24,345015,1196,11774,10944,12
2021-04-25,345909,894,11306,10954,10
2021-04-26,346875,966,11038,10963,9
2021-04-27,347957,1082,10926,10976,13
